Popularity Ranking,Common Name,Current Botanical Name,Plant Type,Height,Width,Growth Rate,Deciduous / Evergreen,Flowers,Flowering Season,Sun,Soil,Drainage,Water Requirement,Ease of Care,Max Summer Irrigation,Common uses,Availability in Nurseries,Plant Url,QR Codes(change number to change image size in pixels)
202,Narrow Leaf Milkweed,Asclepias fascicularis,Perennial herb,1.7 - 3.3 ft(0.5 - 1 m),1 ft (0.3 m),,Winter Deciduous,"White,Lavender","Summer,Fall",Full Sun,"Tolerates a variety of soils including sandy, clay and saline","Fast,Medium,Slow","Low,Moderate - High",Moderately Easy,Max 2x / month once established,"Butterfly Gardens,Deer Resistant,Bird Gardens",Commonly Available,//calscape.org/Asclepias-fascicularis-(),//calscape.org/qrcodes/Asclepias-fascicularis(192)
204,Common Yarrow,Achillea millefolium,Perennial herb,1 - 3 ft(0.3 - 0.9 m),.5 - 1.5 ft (0.2 - 0.5 m),"Fast,Moderate","Evergreen,Summer Deciduous,Summer Semi-Deciduous","White,Yellow","Summer,Spring","Full Sun, Part Shade, Full Shade",Nearly any type except very wet. Because of its deep roots it has been used to control erosion.,"Fast,Medium,Slow",Low,Very Easy,Max 1x / week once established,"Groundcovers,Bird Gardens,Deer Resistant,Bee Gardens,Butterfly Gardens",Commonly Available,//calscape.org/Achillea-millefolium-(),//calscape.org/qrcodes/Achillea-millefolium(192)
225,Idaho Fescue,Festuca idahoensis,Grass,1 - 2.6 ft(0.3 - 0.8 m),.5 ft (0.2 m),Moderate,evergreen,"Yellow,Cream",Summer,Full Sun,"Adaptable, tolerant of sand, loam and clay","Fast,Medium,Slow",Very Low,Very Easy,Max 1x / month once established,"Groundcovers,Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Festuca-idahoensis-(),//calscape.org/qrcodes/Festuca-idahoensis(192)
236,California Buckeye,Aesculus californica,Tree,13.1 - 39.4 ft(4 - 12 m),40 ft (12.2 m),Moderate,"Summer Deciduous,Winter Deciduous","White,Cream","Summer,Spring","Part Shade,Full Sun",Tolerates a variety of soils including clay,"Medium,Slow","Very Low,Low",Very Easy,Max 2x / month once established,"Hedges,Bank Stabilization,Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Aesculus-californica-(),//calscape.org/qrcodes/Aesculus-californica(192)
246,Sky Lupine,Lupinus nanus,Annual Herb,0.33 - 2 ft(0.1 - 0.6 m),1 ft (0.3 m),Fast,Summer Deciduous,"Blue,Lavender","Winter,Spring",Full Sun,Tolerates sandy or clay soils,"Fast,Medium,Slow","Very Low,Low",Moderately Easy,Max 2x / month once established,"Bird Gardens,Bee Gardens",Commonly Available,//calscape.org/Lupinus-nanus-(),//calscape.org/qrcodes/Lupinus-nanus(192)
255,Canyon Live Oak,Quercus chrysolepis,"Tree,Shrub",30 - 90 ft(9.1 - 27.4 m),30 - 60 ft (9.1 - 18.3 m),"Moderate,Slow",Evergreen,"Yellow,Cream,Green","Spring,Winter","Full Sun, Part Shade, Shade",Found in a wide variety of soils in various parts of the state,Medium,Low,Moderately Easy,Max 2x / month once established,"Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens",,//calscape.org/Quercus-chrysolepis-(),//calscape.org/qrcodes/Quercus-chrysolepis(192)
259,Franciscan Manzanita,Arctostaphylos franciscana,Shrub,0.7 - 10 ft(0.21 - 3 m),10 ft (3.0 m),,Evergreen,"Pink,White","Winter,Spring","Full Sun, Part Shade",,"Fast,Medium,Slow","Low,Very Low",Moderately Easy,Max 2x / month once established,"Hedges,Bird Gardens,Deer Resistant,Hummingbird Gardens,Bee Gardens",Commonly Available,//calscape.org/Arctostaphylos-franciscana-(),//calscape.org/qrcodes/Arctostaphylos-franciscana(192)
265,Ithuriel's Spear,Triteleia laxa,Perennial herb,2 ft(0.6 m),.5 ft (0.2 m),,Summer Deciduous,"Blue,Lavender,Purple,White","Spring,Summer","Full Shade,Part Shade,Full Sun",Does well in sandy soil but can also tolerate clay soil,"Medium,Slow",Low,,Max 2x / month once established,"Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Triteleia-laxa-(),//calscape.org/qrcodes/Triteleia-laxa(192)
271,Clustered Field Sedge,Carex praegracilis,Grass,2 - 3.5 ft(0.6 - 1.1 m),3.5 ft (1.1 m),Moderate,Evergreen,Green,Spring,Full Sun,Tolerant of a variety of soils as long as sufficient moisture is provided,"Fast,Medium,Slow","Low,Moderate - High",Very Easy,Max 1x / month once established,"Groundcovers,Deer Resistant",Commonly Available,//calscape.org/Carex-praegracilis-(),//calscape.org/qrcodes/Carex-praegracilis(192)
333,Beach Strawberry,Fragaria chiloensis,Perennial herb,0.49 - 1 ft(0.15 - 0.3 m),,Moderate,Evergreen,"White,Red","Spring,Winter","Part Shade,Full Sun",Prefers sandy soils,Fast,"Low,Very Low",Very Easy,Max 3x / month once established,"Groundcovers,Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//calscape.org/Fragaria-chiloensis-(),//calscape.org/qrcodes/Fragaria-chiloensis(192)
337,Deerweed,Acmispon glaber,Perennial herb,1.6 - 3 ft(0.49 - 0.9 m),3 ft (0.9 m),Fast,"Summer Semi-Deciduous,Winter Deciduous",Yellow,"Winter,Spring,Summer",Full Sun,Tolerates a wide variety of soils,Medium,Very Low,,Max 1x / month once established,"Bee Gardens,Butterfly Gardens",Commonly Available,//calscape.org/Acmispon-glaber-(),//calscape.org/qrcodes/Acmispon-glaber(192)
391,Blue Wildrye,Elymus glaucus,Grasses,1 - 5 ft(0.3 - 1.5 m),1 ft (0.3 m),Fast,Summer Semi-Deciduous,Yellow,Summer,"Full Sun, Part Shade",Tolerates a wide variety of soils,Medium,Low,Very Easy,Max 2x / month once established,"Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Elymus-glaucus-(),//calscape.org/qrcodes/Elymus-glaucus(192)
401,Dune Sagewort,Artemisia pycnocephala,Perennial herb,1.6 ft(0.49 m),3 ft (0.9 m),,Evergreen,"Cream,White,Yellow","Spring,Summer",Full Sun,Generally prefers sand,Fast,Very Low,Very Easy,Max 2x / month once established,"Groundcovers,Deer Resistant,Bird Gardens",Commonly Available,//calscape.org/Artemisia-pycnocephala-(),//calscape.org/qrcodes/Artemisia-pycnocephala(192)
416,Dune Tansy,Tanacetum bipinnatum,Perennial herb,9.6 in(24.4 cm),,,Evergreen,Yellow,"Summer,Fall",Full Sun,Sandy,Fast,Very Low,Moderately Easy,Max 2x / month once established,Groundcovers,Rarely Available,//calscape.org/Tanacetum-bipinnatum-(),//calscape.org/qrcodes/Tanacetum-bipinnatum(192)
417,Pacific Reedgrass,Calamagrostis nutkaensis,Grasses,3.3 ft(1 m),,,Evergreen,Brown,-,"Full Sun, Part Shade",Tolerates a variety of soils,Standing,Moderate - High,,Keep moist,Deer Resistant,Commonly Available,//calscape.org/Calamagrostis-nutkaensis-(),//calscape.org/qrcodes/Calamagrostis-nutkaensis(192)
455,Blood Currant,Ribes sanguineum var. glutinosum,Shrub,13 ft(4 m),7 ft (2.1 m),Fast,Winter Deciduous,"Pink,Purple","Winter,Spring","Full Sun,Part Shade",Tolerates a variety of soils,Medium,"Low,Very Low",,Max 3x / month once established,"Deer Resistant,Bird Gardens,Hummingbird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Ribes-sanguineum-var.-glutinosum-(),//calscape.org/qrcodes/Ribes-sanguineum-var.-glutinosum(192)
456,Creeping Wild Rye,Elymus triticoides,Grasses,2.1 - 4.3 ft(0.6 - 1.3 m),,Fast,Winter Deciduous,Green,-,Part Shade,Tolerates most soils,"Medium,Slow",Moderate - High,Very Easy,Max 1x / month once established,"Butterfly Gardens,Groundcovers",Commonly Available,//calscape.org/Elymus-triticoides-(),//calscape.org/qrcodes/Elymus-triticoides(192)
457,Coyote Mint,Monardella villosa,Perennial herb,2 ft(0.6 m),3 ft (0.9 m),Moderate,Evergreen,"Pink,Lavender",Summer,"Full Sun, Part Shade",Tolerates a variety of soils,Medium,Very Low,Moderately Easy,Max 2x / month once established,"Deer Resistant,Bird Gardens,Hummingbird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Monardella-villosa-(),//calscape.org/qrcodes/Monardella-villosa(192)
458,Tufted Hairgrass,Deschampsia cespitosa,Grasses,3.3 ft(1 m),3 ft (0.9 m),,Evergreen,Brown,-,"Full Sun, Part Shade",Tolerant of sand and clay,"Fast,Medium,Slow,Standing","Low,Moderate - High",,Max 1x / week once established,"Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Deschampsia-cespitosa-(),//calscape.org/qrcodes/Deschampsia-cespitosa(192)
475,Needle Grass,Stipa cernua,Grasses,1.7 - 3.3 ft(0.5 - 1 m),2 ft (0.6 m),Fast,Winter Deciduous,Brown,"February, March, April, May, June, July ","Full Sun, Part Shade",Tolerates a variety of soils,Medium,Very Low,Moderately Easy,Max 2x / month once established,"Groundcovers,Deer Resistant",Commonly Available,//calscape.org/Stipa-cernua-(),//calscape.org/qrcodes/Stipa-cernua(192)
476,Junegrass,Koeleria macrantha,Grasses,0.7 - 2.3 ft(0.21 - 0.7 m),1 ft (0.3 m),"Slow,Fast",Summer Semi-Deciduous,"Yellow,Brown",Spring,"Full Sun, Part Shade, Full Shade",Tolerates a variety of soils,"Fast,Medium,Slow",Very Low,Very Easy,,"Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Koeleria-macrantha-(),//calscape.org/qrcodes/Koeleria-macrantha(192)
477,California Melicgrass,Melica californica,Grasses,1 - 4.3 ft(0.3 - 1.3 m),1 ft (0.3 m),"Fast,Moderate","Summer Deciduous, Fall Deciduous","Yellow,Green,Purple",Summer,"Full Sun, Part Shade",Tolerates a variety of soils as long as drainage is good,Medium,Very Low,Very Easy,Max 1x / week once established,"Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Melica-californica-(),//calscape.org/qrcodes/Melica-californica(192)
507,Rock Phacelia,Phacelia californica,"Annual herb,Perennial herb",0.5 - 1.5 ft(0.15 - 0.46 m),1 - 2,Fast,Evergreen,"Lavender,White","Spring,Summer","Full Sun, Part Shade","Adaptable, well draining",Fast,Very Low,Moderately Easy,Never irrigate once established,"Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Phacelia-californica-(),//calscape.org/qrcodes/Phacelia-californica(192)
530,Ruby Chalice Clarkia,Clarkia rubicunda,Annual herb,2.5 ft(0.8 m),2.5 ft (0.8 m),Fast,Winter Deciduous,"Pink,Red,Purple","Spring,Summer",Full Sun,Adaptable,"Fast,Medium,Slow",Very Low,Very Easy,Max 1x / month once established,"Deer Resistant,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Clarkia-rubicunda-(),//calscape.org/qrcodes/Clarkia-rubicunda(192)
533,Creeping Snowberry,Symphoricarpos mollis,Shrub,,,,Winter Deciduous,Pink,"Spring,Summer",Part Shade,Tolerates a variety of soils,"Fast,Medium,Slow",Very Low,,,"Bank Stabilization,Groundcovers,Bird Gardens,Butterfly Gardens,Bee Gardens",,//calscape.org/Symphoricarpos-mollis-(),//calscape.org/qrcodes/Symphoricarpos-mollis(192)
557,Torrey's Melicgrass,Melica torreyana,Grasses,1 - 3 ft(0.3 - 0.9 m),1 ft (0.3 m),,Summer Semi-Deciduous,Brown,"March, April, May, June","Full Sun, Part Shade, Full Shade",Tolerates a variety of soils,Medium,Very Low,Very Easy,Max 2x / month once established,Butterfly Gardens,Commonly Available,//calscape.org/Melica-torreyana-(),//calscape.org/qrcodes/Melica-torreyana(192)
562,California Brome Grass,Bromus carinatus,Grass,1 - 5 ft(0.3 - 1.5 m),1,Fast,Summer Deciduous,Yellow,Spring,"Full Sun, Part Shade",Tolerates most soil types but especially good in clay,"Medium,Slow",Low,Very Easy,Max 2x / month once established,"Groundcovers,Butterfly Gardens",Commonly Available,//calscape.org/Bromus-carinatus-(),//calscape.org/qrcodes/Bromus-carinatus(192)
655,Meadow Barley,Hordeum brachyantherum,Grass,2 - 3.3 ft(0.6 - 1 m),,Moderate,Winter Deciduous,"Yellow,Purple",Summer,Full Sun,Tolerant of a variety of garden soils as long as sufficient moisture is available,"Fast,Medium,Slow","Low,Moderate - High",Very Easy,Max 2x / month once established,Deer Resistant,Commonly Available,//calscape.org/Hordeum-brachyantherum-(),//calscape.org/qrcodes/Hordeum-brachyantherum(192)
658,Small Flowered Needlegrass,Stipa lepida,Grass,1.7 - 3.3 ft(0.5 - 1 m),2 ft (0.6 m),,Winter Deciduous,Yellow,"March, April, May","Full Shade,Part Shade,Full Sun",Adaptable but often found in clay loam,"Slow,Medium",Very Low,Very Easy,Never irrigate once established,Groundcovers,Commonly Available,//calscape.org/Stipa-lepida-(),//calscape.org/qrcodes/Stipa-lepida(192)
675,Dotseed Plantain,Plantago erecta,Annual Herb,,,,Annual,Cream,"March, April","Full Sun, Part Shade",Adaptable,"Fast,Medium,Slow",Very Low,,,Butterfly Gardens,Commonly Available,//calscape.org/Plantago-erecta-(),//calscape.org/qrcodes/Plantago-erecta(192)
770,San Francisco Wallflower,Erysimum franciscanum,"Perennial herb,Annual herb",,,,Annual,Yellow,Spring,Full Sun,,,Low,,,"Deer Resistant,Butterfly Gardens",,//calscape.org/Erysimum-franciscanum-(),//calscape.org/qrcodes/Erysimum-franciscanum(192)
852,Summer Lupine,Lupinus formosus,Perennial Herb,0.7 - 2.6 ft(0.21 - 0.8 m),,,"Fall Deciduous, Winter Deciduous",Purple,"Summer,Fall",Full Sun,,Slow,Very Low,,,"Bird Gardens,Butterfly Gardens,Bee Gardens",Sometimes Available,//calscape.org/Lupinus-formosus-(),//calscape.org/qrcodes/Lupinus-formosus(192)
898,Big Squirreltail,Elymus multisetus,Grasses,2 ft(0.6 m),,,"Summer Deciduous, Winter Deciduous",Brown,"May, June, July",Full Sun,,Fast,Very Low,,,,Sometimes Available,//calscape.org/Elymus-multisetus-(),//calscape.org/qrcodes/Elymus-multisetus(192)
913,Manycolored Lupine,Lupinus variicolor,Shrub,0.7 - 1.6 ft(0.21 - 0.49 m),,,"Fall Deciduous, Winter Deciduous","Lavender,White","April, May, June, July",,,,,Moderately Easy,,"Bird Gardens,Bee Gardens",Rarely Available,//calscape.org/Lupinus-variicolor-(),//calscape.org/qrcodes/Lupinus-variicolor(192)
940,Tomcat Clover,Trifolium willdenovii,Annual herb,,,,Annual,Lavender,Spring,Full Sun,,,Low,,,Bee Gardens,Sometimes Available,//calscape.org/Trifolium-willdenovii-(),//calscape.org/qrcodes/Trifolium-willdenovii(192)
944,California Sea Pink,Armeria maritima ssp. californica,Perennial herb,4.8 in(12.2 cm),,,Fall Deciduous Winter Deciduous,Pink,Spring,part Shade,,Fast,Low,,,Deer Resistant,Sometimes Available,//calscape.org/Armeria-maritima-ssp.-californica-(),//calscape.org/qrcodes/Armeria-maritima-ssp.-californica(192)
975,Coast Goldenrod,Solidago spathulata,Perennial herb,0.33 - 1.6 ft(0.1 - 0.49 m),,,Fall Deciduous Winter Deciduous,Yellow,"Spring,Summer,Fall",Full Sun,,Fast,"Extremely Low,Very Low",Moderately Easy,,"Groundcovers,Bee Gardens",Rarely Available,//calscape.org/Solidago-spathulata-(),//calscape.org/qrcodes/Solidago-spathulata(192)
980,Dune Gilia,Gilia capitata ssp. chamissonis,Annual herb,3 ft(0.9 m),,,Annual,Lavender,"Spring,Summer",Full Sun,,Fast,Very Low,,,Bee Gardens,Sometimes Available,//calscape.org/Gilia-capitata-ssp.-chamissonis-(),//calscape.org/qrcodes/Gilia-capitata-ssp.-chamissonis(192)
1024,Dichondra,Dichondra donelliana,"Vine,Perennial herb",,,,Evergreen,-,-,Full Sun,,,"Low,Moderate - High,",,,Groundcovers,Rarely Available,//calscape.org/Dichondra-donelliana-(),//calscape.org/qrcodes/Dichondra-donelliana(192)
1136,Presidio Manzanita,Arctostaphylos montana ssp. ravenii,Shrub,2 ft(0.6 m),5 ft (1.5 m),,Evergreen,White,"Winter,Spring","Part Shade,Full Sun","The sole remaining individual is growing on a serpentine outcrop. However, it appears to be tolerant of normal garden soil.",Medium,Low,,Max 2x / month once established,"Deer Resistant,Hummingbird Gardens,Bee Gardens",Rarely Available,//calscape.org/Arctostaphylos-montana-ssp.-ravenii-(),//calscape.org/qrcodes/Arctostaphylos-montana-ssp.-ravenii(192)
